"x","y","x_scaled","y_scaled","z_scaled","intensity","intensity_scaled","r","g","b","Cluster","Cluster_R"
509912.31,7532001.29,0.572137842946391,0.454173853914099,0.451351514785027,52685,0.834224598930481,0.895287958115183,0.808510638297872,0.702127659574468,148,148
509913.65,7532002.28,0.57282798473449,0.454554185763328,0.451351514785027,54998,0.882352941176471,0.926701570680628,0.861702127659574,0.776595744680851,148,148
509910.96,7532000.3,0.571442550846467,0.453793522064871,0.450686339723047,52171,0.823529411764706,0.890052356020942,0.803191489361702,0.686170212765957,148,148
509909.61,7531999.32,0.570747258746512,0.453417031951764,0.450081635121243,50629,0.79144385026738,0.858638743455497,0.765957446808511,0.643617021276596,148,148
509914.64,7532000.93,0.573337865607772,0.454035551423373,0.451291044324848,49601,0.770053475935829,0.842931937172775,0.74468085106383,0.622340425531915,148,148
509911.23,7532005.55,0.571581609266434,0.455810433386082,0.45213763076737,51914,0.818181818181818,0.884816753926702,0.792553191489362,0.680851063829787,148,148
509909.84,7532004.66,0.570865715919114,0.455468518895567,0.451532926165569,52685,0.834224598930481,0.900523560209424,0.808510638297872,0.696808510638298,148,148
509908.49,7532003.67,0.57017042381916,0.455088187046339,0.450867751103586,55255,0.887700534759358,0.93717277486911,0.861702127659574,0.781914893617021,148,148
509907.14,7532002.68,0.569475131719235,0.45470785519711,0.450202576041603,54741,0.877005347593583,0.931937172774869,0.851063829787234,0.76063829787234,148,148
509912.17,7532004.3,0.572065738580465,0.455330216404841,0.452077160307192,52428,0.828877005347594,0.895287958115183,0.803191489361702,0.696808510638298,148,148
509909.53,7532002.23,0.570706056251723,0.45453497708415,0.450807280643407,51657,0.812834224598931,0.879581151832461,0.787234042553192,0.675531914893617,148,148
509910.87,7532003.22,0.571396198039791,0.454915308933021,0.451472455705387,51914,0.818181818181818,0.890052356020942,0.792553191489362,0.680851063829787,148,148
509908.13,7532001.34,0.569985012592517,0.454193062593277,0.450142105581424,53199,0.844919786096257,0.900523560209424,0.824468085106383,0.718085106382979,148,148
509906.79,7532000.35,0.569294870804419,0.453812730744049,0.449537400979623,53199,0.844919786096257,0.905759162303665,0.824468085106383,0.718085106382979,148,148
509913.16,7532002.95,0.572575619453747,0.454811582065244,0.45201668984701,52171,0.823529411764706,0.890052356020942,0.797872340425532,0.691489361702128,148,148
509911.81,7532001.97,0.571880327353822,0.45443509195178,0.451411985245209,52428,0.828877005347594,0.890052356020942,0.803191489361702,0.691489361702128,148,148
509910.47,7532000.98,0.571190185565724,0.454054760102909,0.450746810183226,52685,0.834224598930481,0.895287958115183,0.808510638297872,0.696808510638298,148,148
509909.12,7531999.99,0.570494893465799,0.45367442825368,0.450081635121243,51143,0.802139037433155,0.869109947643979,0.776595744680851,0.659574468085106,148,148
509912.8,7532000.62,0.572390208227104,0.453916457612183,0.451291044324848,51400,0.807486631016043,0.87434554973822,0.781914893617021,0.670212765957447,148,148
509914.15,7532001.61,0.573085500327059,0.454296789461411,0.451956219386829,50372,0.786096256684492,0.858638743455497,0.76063829787234,0.648936170212766,148,148
509911.46,7531999.63,0.571700066439036,0.453536125762954,0.450686339723047,50115,0.780748663101604,0.848167539267016,0.75531914893617,0.632978723404255,148,148
509910.11,7531998.64,0.571004774339081,0.453155793913726,0.450021164661064,49858,0.775401069518717,0.842931937172775,0.75531914893617,0.638297872340426,148,148
509913.79,7531999.27,0.572900089100386,0.453397823272228,0.451230573864667,51914,0.818181818181818,0.884816753926702,0.797872340425532,0.680851063829787,148,148
509911.1,7531997.3,0.571514655212363,0.452641001309893,0.449960694200882,51400,0.807486631016043,0.869109947643979,0.781914893617021,0.670212765957447,148,148
509912.44,7531998.29,0.572204797000462,0.453021333159121,0.450625869262865,49344,0.764705882352941,0.837696335078534,0.73936170212766,0.611702127659574,148,148
509914.78,7531997.93,0.573409969973699,0.452883030668395,0.450565398802686,49601,0.770053475935829,0.842931937172775,0.74468085106383,0.627659574468085,148,148
509913.43,7531996.94,0.572714677873744,0.452502698819525,0.450565398802686,51657,0.812834224598931,0.879581151832461,0.787234042553192,0.664893617021277,148,148
509914.42,7531995.59,0.573224558747026,0.45198406447957,0.450504928342505,53199,0.844919786096257,0.900523560209424,0.819148936170213,0.718085106382979,148,148
509915.77,7531996.58,0.573919850846981,0.452364396328798,0.450504928342505,54741,0.877005347593583,0.926701570680628,0.856382978723404,0.76063829787234,148,148
509915.41,7531994.25,0.573734439620308,0.451469271875737,0.449779282820343,49344,0.764705882352941,0.842931937172775,0.73936170212766,0.611702127659574,148,148
509911.95,7531998.96,0.571952431719749,0.453278729461038,0.450625869262865,50115,0.780748663101604,0.848167539267016,0.75531914893617,0.632978723404255,148,148
509913.3,7531999.95,0.572647723819674,0.453659061310266,0.451291044324848,50115,0.780748663101604,0.853403141361257,0.75531914893617,0.638297872340426,148,148
509910.38,7532003.89,0.571143832759078,0.455172705234937,0.451472455705387,52171,0.823529411764706,0.890052356020942,0.797872340425532,0.691489361702128,148,148
509911.15,7531988.07,0.571540406771644,0.449095079120597,0.448388462236198,53713,0.855614973262032,0.916230366492147,0.835106382978723,0.718085106382979,148,148
509910.6,7531997.97,0.571257139619794,0.452898397611809,0.450021164661064,49601,0.770053475935829,0.837696335078534,0.74468085106383,0.627659574468085,148,148
509912.49,7531989.06,0.572230548559713,0.449475410969468,0.448388462236198,52942,0.839572192513369,0.895287958115183,0.819148936170213,0.702127659574468,148,148
509912.27,7531997.12,0.572117241698997,0.452571850064709,0.449960694200882,51143,0.802139037433155,0.869109947643979,0.781914893617021,0.659574468085106,148,148
