"Model","mean_se","mean1_se","shape_se","scale_se"
"χ² transformation",0.00650698433983288,0.00916134090943558,2.42522098543815,0.508883497449788
"Gaussian copula",0.00855258847138451,0.00133786226579224,0.0853934376782733,0.00425273026801294
"Clayton (nu=1)",0.00102017716714903,0.00160503235665181,0.155309706127029,0.0521515193863557
"Clayton (nu=2)",0.000702267122144695,0.000911665864069122,0.570340465069132,0.156395075382333
"Clayton (nu=4)",0.000311884265819096,0.000812741533587213,0.68617851509233,0.0222196694244322
"Clayton (nu=6)",0.00104213708360099,0.00135197716570614,0.124254628146055,0.211296474899034
