"Model","LogLik","AIC","BIC","mean","mean1","shape","scale","Convergence"
"Independence",13404.6444924936,-26805.2889849871,-26792.3525589687,-0.221080327992022,NA,15.5420520165832,NA,TRUE
"χ² transformation",608321.905461067,-1216635.81092213,-1216609.9380701,-0.89834588682944,1.01674801540711,76.1657463386721,4.3077923442346,TRUE
"Clayton (nu=1)",613032.222490592,-1226056.44498118,-1226030.57212915,-0.898826113263797,1.01895652670877,79.9110895960483,9.99999975003911,FALSE
"Clayton (nu=2)",614933.4477764,-1229858.8955528,-1229833.02270076,-0.896463668851946,1.01494498665123,77.9040634190789,7.74687779377691,TRUE
"Clayton (nu=4)",612909.208257446,-1225810.41651489,-1225784.54366285,-0.900856463036545,1.02102967826684,76.7595937407403,4.87484113799909,FALSE
"Clayton (nu=6)",613673.894772505,-1227339.78954501,-1227313.91669297,-0.896404189364452,1.01523090175912,78.5333465082232,6.41849654521,TRUE
"Gaussian copula",611437.62189963,-1222867.24379926,-1222841.37094722,-0.910883617102577,1.03713256528481,79.5350097526837,2.41572302708671,FALSE
