"Parameter","True_Value","Mean_Estimate","Bias","MSE","SD"
"beta0",0.2,0.198070922826421,-0.00192907717357904,0.00654085927507872,0.0808525691387546
"beta1",-0.2,-0.200289226815219,-0.000289226815219118,0.0114183884930543,0.106856468409281
"scale",0.06,0.0598582906404846,-0.000141709359515393,5.93366225984878e-05,0.00770172325235811
"shape",1,1.00616262922841,0.00616262922840982,0.00110288450136158,0.0326329052086192
