"Parameter","True_Value","Mean_Estimate","Bias","MSE","SD"
"beta0",0.2,0.198947409690241,-0.00105259030975863,0.00714661609568533,0.0845311075836886
"beta1",-0.2,-0.204699067187375,-0.0046990671873752,0.00784393958755302,0.088441270655286
"scale",0.06,0.0598345855461605,-0.00016541445383951,4.28343873180899e-05,0.0065427078015567
"shape",1,1.00497907448397,0.00497907448396706,0.00123694035468247,0.034815932731518
