"Parameter","True_Value","Mean_Estimate","Bias","MSE","SD"
"beta0",0.2,0.198400794170895,-0.00159920582910453,0.012309109625179,0.110934900576397
"beta1",-0.2,-0.202145937964611,-0.00214593796461102,0.0050164240538131,0.070794201768684
"scale",0.06,0.0597814930165952,-0.000218506983404823,3.99060576718012e-05,0.00631334399268759
"shape",1,1.00806034356222,0.0080603435622173,0.00343844431479324,0.0580816251188985
